# NGC6793    E(B-V)=0.272 	t~600 Myr
#                                    parallax
#        G       (Gbp-Grp)      pi         err(pi)
#       (mag)      (mag)        (mas)       (mas)
       14.38       1.222       1.635       0.028
       14.93       1.328       1.577       0.033
       11.98       0.731       1.595       0.038
       10.83       0.539       1.629        0.05
       10.99         0.5        1.65       0.039
       14.49       1.227       1.666       0.029
        11.4       0.618       1.717       0.055
       17.97       2.434        1.93       0.162
       16.08       1.644       1.643       0.054
       10.39       0.548       1.646       0.041
       11.61       0.621       1.685       0.048
       13.17       1.005       1.624       0.022
       16.39       1.903       1.834       0.067
       16.05       1.659       1.624       0.053
       17.65       2.447       0.972       0.135
       15.61       1.501       1.642       0.043
       18.82       2.605       1.602        0.23
       17.23       2.049       1.765         0.1
       17.22        2.08       1.886       0.093
       18.77       2.585       2.592       0.252
       11.01       0.563       1.592       0.079
       16.74       1.904       1.676       0.076
       10.54        0.49       1.727       0.033
       19.43       2.728       1.767       0.422
       15.73       1.556       1.638       0.044
       16.03       1.637       1.646       0.049
       18.25       2.336       1.563        0.17
       13.81       1.242         1.7       0.023
       13.37       1.056       1.661       0.024
       16.57       1.827       1.684       0.074
       13.51       1.097       1.626       0.027
       17.18       2.361       1.668        0.09
       11.54       0.631       1.718       0.038
       14.31       1.223       1.795       0.028
       20.38       2.511       4.997       1.924
       12.48       0.899       1.699       0.036
       11.86       0.891       1.639       0.042
       14.03         1.2       1.748        0.03
       16.27       1.732       1.678       0.055
       15.46       1.461       1.662       0.039
       12.88       0.973       1.601       0.036
       14.11       1.173       1.651       0.028
       12.44       0.895       1.655       0.037
       12.29       0.803       1.618        0.05
       11.14       0.578       1.623       0.043
       18.27       2.431       1.431       0.174
       17.52       2.204       1.728        0.11
        12.7       0.927       1.657       0.041
       14.82       1.356       1.709       0.029
        16.6       1.855       1.722       0.068
       17.85       2.313       1.711        0.13
       17.16        2.06        1.45         0.1
       14.17       1.176       1.645       0.029
       12.59       1.022       1.553       0.038
       11.24       0.737       1.763       0.034
       13.28       1.038        1.68       0.024
       19.42        2.85       1.665       0.403
       11.83        0.73       1.599       0.039
       15.44       1.469       1.673        0.04
       18.61       2.486       1.936       0.219
       13.81       1.149       1.649       0.027
        18.2       2.128        2.43       0.184
       18.81       2.507       1.173       0.258
       11.87       0.713       1.667       0.038
       18.04       2.221        1.38       0.149
       11.46        0.63        1.88       0.068
       15.87       1.667       1.755       0.049
       14.23       1.185       1.675       0.024
       19.34       2.721       2.218       0.369
       18.11       2.267       1.623       0.147
       18.63       2.553       1.366       0.229
        9.59       0.389       1.726       0.041
       15.04       1.346       1.631       0.035
       17.77       2.388       1.832       0.119
       19.92       2.834       0.996       0.614
       19.71       2.548       1.032       0.418
       19.26       2.626       1.134       0.362
       14.23       1.206       1.719       0.029
        15.8       1.584       1.605       0.052
       19.63       2.392       2.139       0.488
       11.89       0.749       1.689       0.043
       17.41       2.188       1.723       0.098
       19.68       2.739       2.248        0.43
        15.1       1.403       1.664       0.034
       14.76       1.304       1.689       0.037
       19.18       2.694       1.561       0.339
       18.38       2.621       3.115       0.243
       15.78       1.568        1.78        0.06
       12.98       0.968       1.643       0.024
       13.73       1.121       1.656       0.023
       18.28       2.393       1.257       0.198
       19.84       2.786       1.341       0.702
       17.97       2.358       1.364        0.14
       17.77       2.266       1.569       0.122
       13.47       1.064       1.628        0.02
       19.92       2.364       1.796       0.527
       19.99       2.169      -0.422       0.634
          17       2.024       1.859       0.081
       18.56       2.875       1.512       0.196
       15.89       1.599       1.725       0.042
       13.69       1.122       1.675       0.031
       14.64       1.261       1.657       0.027
       17.21       2.076       1.675       0.097
       17.36       2.117       1.516       0.103
       18.72       2.304        2.14       0.306
       15.22       1.429       1.312       0.042
       19.97       2.639       2.245       0.717
        16.4       1.772       1.716       0.077
       18.81       2.526         1.9        0.27
       16.07       1.909       1.582       0.058
       14.53       1.239       1.663       0.029
       20.14       2.434       4.076        0.87
       13.46       1.085       1.692       0.021
       16.73       1.909       1.594        0.08
       18.07       2.443        2.04       0.161
       15.99       1.612       1.608       0.042
       14.86       1.294       1.679       0.027
       17.17        1.55       0.626       0.079
       18.38        2.47       2.072       0.185
        19.5       2.761       1.789       0.433
       12.73       0.946       1.745       0.036
       20.74       1.826       1.031       1.542
        11.7       0.689       1.585       0.045
       15.99       1.645       1.629       0.059
       18.06       2.412       1.783       0.133
       12.85       0.945       1.687       0.032
       18.29       2.425       1.695       0.163
       19.33       2.983       1.843       0.314
       18.31       2.679       1.385       0.168
       14.92       1.302       1.752       0.029
       14.32       1.198       1.637       0.031
       10.84       0.516        1.59        0.05
       14.48       1.293       1.687       0.025
       13.03       0.949       1.665       0.019
       17.88       2.411       1.841       0.158
       18.67       2.553        1.69       0.234
       17.67       2.431       1.058       0.112
       16.96       1.757       0.404       0.073
        19.5       2.445        0.89       0.487
       17.17       2.051       1.414       0.116
       16.36       1.761       1.744        0.06
       16.54        2.02       1.554       0.065
       19.74       2.198       1.428        0.52
       19.08       2.753       1.613       0.309
       17.37       2.144       1.568       0.108
       20.78       1.897      -8.962       2.296
       18.23       2.535       1.438       0.179
       14.63       1.308       1.649       0.027
       19.34       3.083       1.004       0.373
       19.97       2.625        1.53       0.599
       17.69       2.526       1.394       0.129
       18.94       2.895       1.428         0.3
       17.34       2.139       1.762       0.117
       17.47       2.184       1.865         0.1
        13.9       1.149       1.719       0.022
       17.69       2.278       1.611       0.142
       17.13       2.303       1.658        0.09
       16.41       1.819       1.526       0.066
       20.08       2.315       1.549       0.688
       18.26       2.547       1.437        0.19
       15.93       1.592       1.687       0.042
       17.89       2.668        1.62       0.126
       16.65       1.867       1.715       0.068
       12.79        0.96       1.594       0.046
       19.69       3.039         1.2       0.487
       15.73       1.695       0.824       0.051
       19.93       2.984        1.02        0.54
       17.28       2.351       2.626       0.285
       18.85         2.8       1.564       0.237
       18.73       2.481       1.505       0.316
       19.96       2.611       2.229       0.659
       15.11         1.4       1.717       0.034
        19.2       2.767       1.037       0.334
       12.15       0.822       1.676       0.042
        18.5       1.881       0.678       0.202
       17.56       2.238       1.497       0.106
       17.45       1.709       0.575       0.136
       13.04        1.11       1.623       0.022
       11.95       0.728       1.651       0.033
       9.606        0.36       1.669        0.04
       17.18       2.087       1.739       0.095
       18.58       2.714       2.349       0.255
       19.03       2.329       1.826       0.283
       17.45       2.189       1.753       0.113
       13.66       1.139       1.515       0.024
       16.01       1.715        1.76       0.057
       14.44       1.232        1.69       0.025
       12.44       0.881       1.656       0.044
       16.58       1.863       1.691       0.061
       20.57        1.91       2.835       1.074
       16.75       1.914       2.185       0.103
       16.56       1.839       1.715       0.073
       15.59       1.574       1.601       0.045
       20.92       1.364       -2.21       1.972
       12.39       0.852       1.679        0.03
       16.42       1.798       1.719       0.067
       16.56       1.848        1.66        0.06
       18.16       2.879       1.591       0.144
       20.03       1.909      -0.308       0.623
       17.84       2.373       1.624       0.127
       20.38       1.674       1.137       0.792
       18.96       3.001       1.875        0.26
       15.88       1.621       1.649       0.046
       13.68       1.123       1.688       0.027
       15.74       1.818        1.68       0.048
       19.65        2.05       0.396        0.43
       19.58       2.365        1.53       0.407
       18.27        2.58        1.63       0.192
       20.13       2.769       0.977       0.761
       16.54       1.708       1.037       0.058
        14.2       1.211       1.637       0.023
       20.55       2.037       2.473       1.049
       20.92       2.333       6.962       3.048
       20.01       1.962       0.117        0.66
       17.55       2.227       1.399       0.095
       16.52       1.855       1.892        0.07
       18.55       2.605       1.566       0.199
       18.73       1.856       3.149       0.479
       14.77       1.313       1.744       0.031
       19.34       2.948        1.25       0.339
        14.7       1.302       1.697       0.033
       17.98       2.327       1.763       0.136
       19.03       2.877       1.722       0.262
       17.39       2.255       1.263       0.109
       19.63       2.365         1.6       0.457
       15.43       1.645       1.723       0.034
       20.56       2.116       1.389       0.804
       20.22       2.236      -11.21       1.334
        18.2       2.687       1.543       0.157
       20.94       1.614      -6.181           4
       18.55       2.584        1.68       0.189
       20.53       1.794       1.249       0.833
       16.79       2.016       1.716       0.064
       16.27       1.474       0.696       0.056
       18.38       2.516       1.665       0.164
       12.77       0.955       1.643       0.033
       18.59       2.069       0.756       0.189
       18.55       2.919       1.704        0.18
       17.07        2.09       0.854       0.088
       14.35       1.225       1.673       0.023
       18.57       2.418       1.343       0.247
       19.55       2.684        2.04       0.511
        14.1       1.209       1.647       0.022
       14.87       1.481       1.643        0.03
       18.25       2.727        1.65       0.168
       16.05        1.68       1.645       0.042
       13.85       1.279        1.73       0.022
       20.28       1.545       0.002       1.403
       14.15       1.384       1.677       0.024
       20.35       1.781      -3.327       1.723
       13.94       1.158       1.613       0.028
       16.78       1.977       1.631       0.074
       14.82       1.342       1.678        0.03
       14.47       1.578       1.379       0.074
       13.66       1.175       1.662       0.021
       19.22       2.153       1.027       0.371
       13.54       1.263       1.686       0.021
       20.13       2.865       1.392        0.67
       12.31        0.85       1.645        0.03
        19.8       2.269       1.177       0.488
       20.05       2.789       1.856       0.563
       17.55       2.471       2.429       0.119
       17.67       2.535       1.701       0.118
       18.81       2.896       1.784        0.42
       19.35       2.535        1.55       0.419
        19.8       2.494       1.624       0.641
       15.79       1.805        1.69       0.049
       20.22       2.465       2.229       0.673
       10.86       0.511       1.727       0.029
       18.01       2.427        1.94        0.14
       11.39       1.129       1.648       0.034
       18.52       2.591       1.595       0.193
