Date		Number of Sunspots
2007.001	22
2007.003	24
2007.006	25
2007.009	25
2007.012	28
2007.014	27
2007.017	24
2007.02		30
2007.023	27
2007.025	24
2007.028	23
2007.031	16
2007.034	17
2007.036	11
2007.039	11
2007.042	11
2007.044	9
2007.047	10
2007.05		14
2007.053	11
2007.055	11
2007.058	12
2007.061	10
2007.064	11
2007.066	8
2007.069	7
2007.072	7
2007.075	8
2007.077	18
2007.08		20
2007.083	20
2007.086	22
2007.088	24
2007.091	21
2007.094	17
2007.097	16
2007.099	15
2007.102	15
2007.105	8
2007.107	7
2007.11		7
2007.113	0
2007.116	0
2007.118	0
2007.121	0
2007.124	0
2007.127	0
2007.129	8
2007.132	8
2007.135	20
2007.138	17
2007.14		10
2007.143	16
2007.146	15
2007.149	8
2007.151	8
2007.154	15
2007.157	15
2007.159	8
2007.162	7
2007.165	7
2007.168	7
2007.17		8
2007.173	17
2007.176	14
2007.179	0
2007.181	0
2007.184	0
2007.187	0
2007.19		9
2007.192	8
2007.195	0
2007.198	0
2007.201	0
2007.203	0
2007.206	0
2007.209	0
2007.212	0
2007.214	0
2007.217	0
2007.22		0
2007.222	8
2007.225	8
2007.228	0
2007.231	9
2007.233	8
2007.236	8
2007.239	8
2007.242	7
2007.244	7
2007.247	10
2007.25		0
2007.253	0
2007.255	0
2007.258	0
2007.261	0
2007.264	0
2007.266	0
2007.269	0
2007.272	0
2007.274	0
2007.277	0
2007.28		0
2007.283	0
2007.285	0
2007.288	0
2007.291	7
2007.294	0
2007.296	0
2007.299	0
2007.302	0
2007.305	0
2007.307	0
2007.31		0
2007.313	8
2007.316	10
2007.318	11
2007.321	14
2007.324	20
2007.327	21
2007.329	20
2007.332	20
2007.335	12
2007.337	11
2007.34		10
2007.343	9
2007.346	8
2007.348	9
2007.351	11
2007.354	12
2007.357	14
2007.359	13
2007.362	11
2007.365	18
2007.368	18
2007.37		19
2007.373	24
2007.376	25
2007.379	22
2007.381	14
2007.384	11
2007.387	9
2007.389	14
2007.392	9
2007.395	0
2007.398	0
2007.4		0
2007.403	0
2007.406	7
2007.409	7
2007.411	7
2007.414	19
2007.417	25
2007.42		31
2007.422	34
2007.425	35
2007.428	33
2007.431	37
2007.433	34
2007.436	12
2007.439	9
2007.442	9
2007.444	8
2007.447	8
2007.45		0
2007.452	0
2007.455	0
2007.458	0
2007.461	0
2007.463	0
2007.466	0
2007.469	0
2007.472	0
2007.474	0
2007.477	0
2007.48		7
2007.483	8
2007.485	8
2007.488	9
2007.491	18
2007.494	18
2007.496	19
2007.499	11
2007.502	9
2007.504	9
2007.507	9
2007.51		9
2007.513	8
2007.515	10
2007.518	14
2007.521	17
2007.524	17
2007.526	15
2007.529	26
2007.532	27
2007.535	25
2007.537	20
2007.54		11
2007.543	9
2007.546	8
2007.548	0
2007.551	0
2007.554	0
2007.557	0
2007.559	0
2007.562	0
2007.565	0
2007.567	0
2007.57		9
2007.573	9
2007.576	9
2007.578	0
2007.581	0
2007.584	0
2007.587	7
2007.589	7
2007.592	7
2007.595	8
2007.598	8
2007.6		9
2007.603	9
2007.606	9
2007.609	8
2007.611	8
2007.614	8
2007.617	0
2007.619	0
2007.622	0
2007.625	0
2007.628	0
2007.63		0
2007.633	0
2007.636	9
2007.639	8
2007.641	8
2007.644	8
2007.647	8
2007.65		8
2007.652	8
2007.655	8
2007.658	8
2007.661	8
2007.663	17
2007.666	14
2007.669	8
2007.672	8
2007.674	8
2007.677	8
2007.68		0
2007.682	0
2007.685	0
2007.688	0
2007.691	0
2007.693	0
2007.696	0
2007.699	0
2007.702	0
2007.704	0
2007.707	0
2007.71		0
2007.713	0
2007.715	0
2007.718	0
2007.721	0
2007.724	0
2007.726	0
2007.729	0
2007.732	0
2007.734	0
2007.737	0
2007.74		9
2007.743	9
2007.745	9
2007.748	0
2007.751	0
2007.754	0
2007.756	0
2007.759	0
2007.762	11
2007.765	9
2007.767	7
2007.77		0
2007.773	0
2007.776	0
2007.778	0
2007.781	0
2007.784	0
2007.786	0
2007.789	0
2007.792	0
2007.795	0
2007.797	0
2007.8		0
2007.803	0
2007.806	0
2007.808	0
2007.811	0
2007.814	0
2007.817	0
2007.819	0
2007.822	0
2007.825	0
2007.828	0
2007.83		0
2007.833	0
2007.836	0
2007.839	0
2007.841	0
2007.844	0
2007.847	8
2007.849	0
2007.852	0
2007.855	0
2007.858	0
2007.86		0
2007.863	0
2007.866	0
2007.869	0
2007.871	0
2007.874	10
2007.877	9
2007.88		0
2007.882	0
2007.885	0
2007.888	0
2007.891	0
2007.893	0
2007.896	10
2007.899	8
2007.901	7
2007.904	0
2007.907	0
2007.91		0
2007.912	0
2007.915	10
2007.918	9
2007.921	7
2007.923	9
2007.926	8
2007.929	16
2007.932	15
2007.934	25
2007.937	26
2007.94		24
2007.943	24
2007.945	28
2007.948	30
2007.951	24
2007.953	22
2007.956	18
2007.959	11
2007.962	7
2007.964	0
2007.967	0
2007.97		0
2007.973	0
2007.975	0
2007.978	0
2007.981	0
2007.984	0
2007.986	0
2007.989	0
2007.992	0
2007.995	0
2007.997	0

