Dictionary for log(g) = 0.0
3500.0  0.0  0.669  0.961  0.587
3750.0  0.0  0.715  0.963  0.610
4000.0  0.0  0.741  0.973  0.621
4250.0  0.0  0.759  0.983  0.627
4500.0  0.0  0.773  0.993  0.632
4750.0  0.0  0.786  1.003  0.634
5000.0  0.0  0.799  1.014  0.637
5250.0  0.0  0.813  1.027  0.639
5500.0  0.0  0.829  1.040  0.641
5750.0  0.0  0.844  1.052  0.643
6000.0  0.0  0.861  1.065  0.645

Dictionary for log(g) = 0.5
3500.0  0.5  0.666  0.967  0.585
3750.0  0.5  0.715  0.967  0.609
4000.0  0.5  0.742  0.977  0.620
4250.0  0.5  0.761  0.988  0.627
4500.0  0.5  0.776  0.997  0.631
4750.0  0.5  0.789  1.006  0.634
5000.0  0.5  0.802  1.018  0.637
5250.0  0.5  0.816  1.029  0.640
5500.0  0.5  0.830  1.041  0.641
5750.0  0.5  0.845  1.052  0.643
6000.0  0.5  0.859  1.064  0.645
6250.0  0.5  0.874  1.075  0.647
6500.0  0.5  0.888  1.085  0.647
6750.0  0.5  0.901  1.094  0.648
7000.0  0.5  0.913  1.101  0.649
7250.0  0.5  0.921  1.106  0.651
7500.0  0.5  0.924  1.107  0.652

Dictionary for log(g) = 1.0
3500.0  1.0  0.663  0.973  0.582
3750.0  1.0  0.714  0.971  0.607
4000.0  1.0  0.743  0.979  0.621
4250.0  1.0  0.762  0.990  0.627
4500.0  1.0  0.777  0.999  0.631
4750.0  1.0  0.791  1.009  0.635
5000.0  1.0  0.803  1.020  0.637
5250.0  1.0  0.816  1.032  0.640
5500.0  1.0  0.830  1.043  0.641
5750.0  1.0  0.844  1.054  0.643
6000.0  1.0  0.858  1.064  0.645
6250.0  1.0  0.871  1.073  0.646
6500.0  1.0  0.885  1.083  0.648
6750.0  1.0  0.898  1.092  0.649
7000.0  1.0  0.911  1.100  0.650
7250.0  1.0  0.921  1.107  0.651
7500.0  1.0  0.929  1.112  0.652
7750.0  1.0  0.935  1.116  0.653
8000.0  1.0  0.937  1.118  0.655
8250.0  1.0  0.937  1.119  0.656

Dictionary for log(g) = 1.5
3500.0  1.5  0.662  0.980  0.581
