Teff log(g) logZ  L=Teff^4/g   A218     L/A218  A218(i)/A218(i-1) L/A218(i)/L/A218(i-1) 
4500.0  0.0 -1.0  4.10062e+14  1.26436  3.24324e+14  1.00000e+02  1.00000e+02 
4500.0  0.5 -1.0  1.29673e+14  1.29932  9.98008e+13  1.02765e+00  3.07719e-01 
4500.0  1.0 -1.0  4.10062e+13  1.33717  3.06664e+13  1.02913e+00  3.07277e-01 
4500.0  1.5 -1.0  1.29673e+13  1.37915  9.40240e+12  1.03139e+00  3.06602e-01 
4500.0  2.0 -1.0  4.10062e+12  1.42891  2.86976e+12  1.03608e+00  3.05216e-01 
4500.0  2.5 -1.0  1.29673e+12  1.48182  8.75094e+11  1.03703e+00  3.04937e-01 
4500.0  3.0 -1.0  4.10062e+11  1.52920  2.68155e+11  1.03197e+00  3.06430e-01 
4500.0  3.5 -1.0  1.29673e+11  1.56286  8.29717e+10  1.02201e+00  3.09417e-01 
4500.0  4.0 -1.0  4.10062e+10  1.57631  2.60141e+10  1.00861e+00  3.13530e-01 
4500.0  4.5 -1.0  1.29673e+10  1.58483  8.18215e+09  1.00541e+00  3.14528e-01 
4500.0  5.0 -1.0  4.10062e+09  1.61892  2.53294e+09  1.02151e+00  3.09569e-01 
4500.0  0.0 -2.0  4.10062e+14  1.36509  3.00392e+14  8.43210e-01  1.18594e+05 
4500.0  0.5 -2.0  1.29673e+14  1.40926  9.20151e+13  1.03236e+00  3.06316e-01 
4500.0  1.0 -2.0  4.10062e+13  1.47249  2.78482e+13  1.04487e+00  3.02649e-01 
4500.0  1.5 -2.0  1.29673e+13  1.56360  8.29324e+12  1.06187e+00  2.97801e-01 
4500.0  2.0 -2.0  4.10062e+12  1.69183  2.42378e+12  1.08201e+00  2.92260e-01 
4500.0  2.5 -2.0  1.29673e+12  1.84408  7.03186e+11  1.08999e+00  2.90120e-01 
4500.0  3.0 -2.0  4.10062e+11  1.98909  2.06156e+11  1.07864e+00  2.93174e-01 
4500.0  3.5 -2.0  1.29673e+11  2.09583  6.18720e+10  1.05366e+00  3.00122e-01 
4500.0  4.0 -2.0  4.10062e+10  2.16147  1.89715e+10  1.03132e+00  3.06624e-01 
4500.0  4.5 -2.0  1.29673e+10  2.19737  5.90129e+09  1.01661e+00  3.11061e-01 
4500.0  5.0 -2.0  4.10062e+09  2.21080  1.85481e+09  1.00611e+00  3.14307e-01 
4500.0  0.0  0.0  4.10062e+14  1.19107  3.44281e+14  5.38751e-01  1.85615e+05 
4500.0  0.5  0.0  1.29673e+14  1.20446  1.07661e+14  1.01124e+00  3.12712e-01 
4500.0  1.0  0.0  4.10062e+13  1.21622  3.37161e+13  1.00976e+00  3.13170e-01 
4500.0  1.5  0.0  1.29673e+13  1.22767  1.05625e+13  1.00941e+00  3.13278e-01 
4500.0  2.0  0.0  4.10062e+12  1.23977  3.30757e+12  1.00986e+00  3.13141e-01 
4500.0  2.5  0.0  1.29673e+12  1.25284  1.03503e+12  1.01054e+00  3.12929e-01 
4500.0  3.0  0.0  4.10062e+11  1.26474  3.24227e+11  1.00950e+00  3.13252e-01 
4500.0  3.5  0.0  1.29673e+11  1.27600  1.01625e+11  1.00890e+00  3.13437e-01 
4500.0  4.0  0.0  4.10062e+10  1.28563  3.18958e+10  1.00755e+00  3.13859e-01 
4500.0  4.5  0.0  1.29673e+10  1.29432  1.00186e+10  1.00676e+00  3.14105e-01 
4500.0  5.0  0.0  4.10062e+09  1.30490  3.14248e+09  1.00817e+00  3.13664e-01 
4500.0  0.0  0.5  4.10062e+14  1.16427  3.52206e+14  8.92229e-01  1.12079e+05 
4500.0  0.5  0.5  1.29673e+14  1.17329  1.10521e+14  1.00775e+00  3.13797e-01 
4500.0  1.0  0.5  4.10062e+13  1.18232  3.46829e+13  1.00770e+00  3.13813e-01 
4500.0  1.5  0.5  1.29673e+13  1.19237  1.08752e+13  1.00850e+00  3.13562e-01 
4500.0  2.0  0.5  4.10062e+12  1.20376  3.40651e+12  1.00955e+00  3.13236e-01 
4500.0  2.5  0.5  1.29673e+12  1.21505  1.06722e+12  1.00938e+00  3.13289e-01 
4500.0  3.0  0.5  4.10062e+11  1.22518  3.34696e+11  1.00834e+00  3.13613e-01 
4500.0  3.5  0.5  1.29673e+11  1.23469  1.05025e+11  1.00776e+00  3.13792e-01 
4500.0  4.0  0.5  4.10062e+10  1.24384  3.29675e+10  1.00741e+00  3.13902e-01 
4500.0  4.5  0.5  1.29673e+10  1.25345  1.03453e+10  1.00773e+00  3.13803e-01 
4500.0  5.0  0.5  4.10062e+09  1.26510  3.24134e+09  1.00929e+00  3.13316e-01 
4750.0  0.0 -1.0  5.09066e+14  1.44887  3.51354e+14  1.14526e+00  1.08398e+05 
4750.0  0.5 -1.0  1.60981e+14  1.49769  1.07486e+14  1.03370e+00  3.05920e-01 
4750.0  1.0 -1.0  5.09066e+13  1.55715  3.26922e+13  1.03970e+00  3.04153e-01 
