Teff log(g) logZ  L=Teff^4/g   A218     L/A218  A218(i)/A218(i-1) L/A218(i)/L/A218(i-1) 
4500.0  0.0 -1.0  4.10062e+14  1.26436  3.24324e+14  1.00000e+02  1.00000e+02 
4750.0  0.0 -1.0  5.09066e+14  1.44887  3.51354e+14  1.14593e+00  1.08334e+00 
5000.0  0.0 -1.0  6.25000e+14  1.62513  3.84585e+14  1.12165e+00  1.09458e+00 
5250.0  0.0 -1.0  7.59691e+14  1.83421  4.14179e+14  1.12865e+00  1.07695e+00 
5500.0  0.0 -1.0  9.15062e+14  2.06753  4.42587e+14  1.12720e+00  1.06859e+00 
5750.0  0.0 -1.0  1.09313e+15  2.27427  4.80650e+14  1.09999e+00  1.08600e+00 
6000.0  0.0 -1.0  1.29600e+15  2.43054  5.33215e+14  1.06871e+00  1.10936e+00 
4500.0  0.0 -2.0  4.10062e+14  1.36509  3.00392e+14  5.61641e-01  5.63361e-01 
4750.0  0.0 -2.0  5.09066e+14  1.53692  3.31225e+14  1.12587e+00  1.10264e+00 
5000.0  0.0 -2.0  6.25000e+14  1.76921  3.53265e+14  1.15114e+00  1.06654e+00 
5250.0  0.0 -2.0  7.59691e+14  2.02102  3.75895e+14  1.14233e+00  1.06406e+00 
5500.0  0.0 -2.0  9.15062e+14  2.23812  4.08853e+14  1.10742e+00  1.08768e+00 
5750.0  0.0 -2.0  1.09313e+15  2.39875  4.55708e+14  1.07177e+00  1.11460e+00 
6000.0  0.0 -2.0  1.29600e+15  2.51141  5.16045e+14  1.04697e+00  1.13240e+00 
4500.0  0.0  0.0  4.10062e+14  1.19107  3.44281e+14  4.74263e-01  6.67153e-01 
4750.0  0.0  0.0  5.09066e+14  1.25733  4.04879e+14  1.05563e+00  1.17601e+00 
5000.0  0.0  0.0  6.25000e+14  1.42803  4.37666e+14  1.13576e+00  1.08098e+00 
5250.0  0.0  0.0  7.59691e+14  1.62867  4.66449e+14  1.14050e+00  1.06576e+00 
5500.0  0.0  0.0  9.15062e+14  1.81410  5.04417e+14  1.11385e+00  1.08140e+00 
5750.0  0.0  0.0  1.09313e+15  2.02130  5.40805e+14  1.11422e+00  1.07214e+00 
6000.0  0.0  0.0  1.29600e+15  2.22630  5.82132e+14  1.10142e+00  1.07642e+00 
4500.0  0.0  0.5  4.10062e+14  1.16427  3.52206e+14  5.22962e-01  6.05027e-01 
4750.0  0.0  0.5  5.09066e+14  1.21139  4.20233e+14  1.04047e+00  1.19315e+00 
5000.0  0.0  0.5  6.25000e+14  1.29454  4.82797e+14  1.06864e+00  1.14888e+00 
5250.0  0.0  0.5  7.59691e+14  1.48395  5.11939e+14  1.14631e+00  1.06036e+00 
5500.0  0.0  0.5  9.15062e+14  1.67694  5.45674e+14  1.13005e+00  1.06590e+00 
5750.0  0.0  0.5  1.09313e+15  1.87086  5.84292e+14  1.11564e+00  1.07077e+00 
6000.0  0.0  0.5  1.29600e+15  2.07781  6.23734e+14  1.11062e+00  1.06750e+00 
4500.0  0.5 -1.0  1.29673e+14  1.29932  9.98008e+13  6.25331e-01  1.60005e-01 
4750.0  0.5 -1.0  1.60981e+14  1.49769  1.07486e+14  1.15267e+00  1.07701e+00 
5000.0  0.5 -1.0  1.97642e+14  1.70130  1.16171e+14  1.13595e+00  1.08080e+00 
5250.0  0.5 -1.0  2.40236e+14  1.95196  1.23074e+14  1.14733e+00  1.05942e+00 
5500.0  0.5 -1.0  2.89368e+14  2.20696  1.31116e+14  1.13064e+00  1.06534e+00 
5750.0  0.5 -1.0  3.45678e+14  2.40432  1.43774e+14  1.08943e+00  1.09654e+00 
6000.0  0.5 -1.0  4.09831e+14  2.53691  1.61547e+14  1.05515e+00  1.12362e+00 
6250.0  0.5 -1.0  4.82525e+14  2.62228  1.84010e+14  1.03365e+00  1.13905e+00 
6500.0  0.5 -1.0  5.64486e+14  2.67809  2.10779e+14  1.02128e+00  1.14548e+00 
6750.0  0.5 -1.0  6.56470e+14  2.72506  2.40901e+14  1.01754e+00  1.14291e+00 
7000.0  0.5 -1.0  7.59263e+14  2.76651  2.74448e+14  1.01521e+00  1.13925e+00 
7250.0  0.5 -1.0  8.73679e+14  2.80445  3.11533e+14  1.01371e+00  1.13513e+00 
7500.0  0.5 -1.0  1.00056e+15  2.84152  3.52123e+14  1.01322e+00  1.13029e+00 
4500.0  0.5 -2.0  1.29673e+14  1.40926  9.20151e+13  4.95953e-01  2.61315e-01 
4750.0  0.5 -2.0  1.60981e+14  1.61920  9.94200e+13  1.14897e+00  1.08048e+00 
5000.0  0.5 -2.0  1.97642e+14  1.90761  1.03607e+14  1.17812e+00  1.04212e+00 
5250.0  0.5 -2.0  2.40236e+14  2.18632  1.09881e+14  1.14610e+00  1.06055e+00 
5500.0  0.5 -2.0  2.89368e+14  2.38942  1.21104e+14  1.09290e+00  1.10213e+00 
5750.0  0.5 -2.0  3.45678e+14  2.52155  1.37089e+14  1.05530e+00  1.13200e+00 
6000.0  0.5 -2.0  4.09831e+14  2.60631  1.57246e+14  1.03361e+00  1.14703e+00 
6250.0  0.5 -2.0  4.82525e+14  2.66293  1.81201e+14  1.02172e+00  1.15234e+00 
6500.0  0.5 -2.0  5.64486e+14  2.70209  2.08907e+14  1.01471e+00  1.15290e+00 
