   AGE            L/Lsun         Fpp            Fdp       Fhe3HE3         Fhe3he4          Fbe           Fli7p           Fbe7p         Ftotpp
   2.7406326355  0.1775989E+01  0.1970985E-11  0.4777662E+01  0.1629247E-38  0.6563143E-44  0.0000000E+00  0.7606752E-21  0.0000000E+00  0.3822130E+02
   3.0416626311  0.1564461E+01  0.4127921E-11  0.1071688E+02  0.2078430E-37  0.9726896E-43  0.0000000E+00  0.4461115E-20  0.0000000E+00  0.8573500E+02
   3.0455904936  0.1564243E+01  0.4144607E-11  0.1076386E+02  0.2105330E-37  0.9859945E-43  0.0000000E+00  0.4501852E-20  0.0000000E+00  0.8611087E+02
   3.0494831497  0.1539889E+01  0.4311979E-11  0.1132718E+02  0.2890677E-37  0.1375551E-42  0.0000000E+00  0.5582773E-20  0.0000000E+00  0.9061744E+02
   3.0533412249  0.1530319E+01  0.4327956E-11  0.1137268E+02  0.2924911E-37  0.1392766E-42  0.0000000E+00  0.5629412E-20  0.0000000E+00  0.9098146E+02
   3.0571653284  0.1667108E+01  0.4350361E-11  0.1143651E+02  0.2973380E-37  0.1417162E-42  0.0000000E+00  0.5695172E-20  0.0000000E+00  0.9149211E+02
   3.0609560530  0.1762593E+01  0.4378289E-11  0.1151613E+02  0.3034640E-37  0.1448030E-42  0.0000000E+00  0.5777819E-20  0.0000000E+00  0.9212904E+02
   3.0647139766  0.1872791E+01  0.4414249E-11  0.1161870E+02  0.3114754E-37  0.1488451E-42  0.0000000E+00  0.5885175E-20  0.0000000E+00  0.9294961E+02
   3.0684396618  0.1829375E+01  0.4446949E-11  0.1171203E+02  0.3188785E-37  0.1525854E-42  0.0000000E+00  0.5983680E-20  0.0000000E+00  0.9369621E+02
   3.0721336572  0.1760145E+01  0.4475005E-11  0.1179214E+02  0.3253244E-37  0.1558461E-42  0.0000000E+00  0.6068906E-20  0.0000000E+00  0.9433713E+02
   3.0757964972  0.1699694E+01  0.4499541E-11  0.1186224E+02  0.3310342E-37  0.1587375E-42  0.0000000E+00  0.6143986E-20  0.0000000E+00  0.9489789E+02
   3.0794287029  0.1660939E+01  0.4522083E-11  0.1192667E+02  0.3363412E-37  0.1614275E-42  0.0000000E+00  0.6213429E-20  0.0000000E+00  0.9541335E+02
   3.0830307827  0.1643532E+01  0.4543835E-11  0.1198886E+02  0.3415175E-37  0.1640536E-42  0.0000000E+00  0.6280850E-20  0.0000000E+00  0.9591092E+02
   3.0866032320  0.1638141E+01  0.4565410E-11  0.1205058E+02  0.3467060E-37  0.1666881E-42  0.0000000E+00  0.6348129E-20  0.0000000E+00  0.9640466E+02
   3.0901465345  0.1636852E+01  0.4587013E-11  0.1211241E+02  0.3519554E-37  0.1693558E-42  0.0000000E+00  0.6415897E-20  0.0000000E+00  0.9689925E+02
   3.0936611618  0.1636079E+01  0.4608672E-11  0.1217441E+02  0.3572724E-37  0.1720602E-42  0.0000000E+00  0.6484237E-20  0.0000000E+00  0.9739529E+02
   3.0971475743  0.1634646E+01  0.4630352E-11  0.1223650E+02  0.3626495E-37  0.1747975E-42  0.0000000E+00  0.6553048E-20  0.0000000E+00  0.9789202E+02
   3.1006062215  0.1632232E+01  0.4652004E-11  0.1229854E+02  0.3680748E-37  0.1775616E-42  0.0000000E+00  0.6622171E-20  0.0000000E+00  0.9838831E+02
   3.1040375422  0.1628754E+01  0.4673574E-11  0.1236036E+02  0.3735346E-37  0.1803456E-42  0.0000000E+00  0.6691434E-20  0.0000000E+00  0.9888291E+02
   3.1074419646  0.1624269E+01  0.4695012E-11  0.1242184E+02  0.3790157E-37  0.1831428E-42  0.0000000E+00  0.6760670E-20  0.0000000E+00  0.9937468E+02
   3.1108199073  0.1618853E+01  0.4716273E-11  0.1248282E+02  0.3845055E-37  0.1859467E-42  0.0000000E+00  0.6829720E-20  0.0000000E+00  0.9986256E+02
   3.1141717791  0.1612596E+01  0.4737315E-11  0.1254320E+02  0.3899922E-37  0.1887514E-42  0.0000000E+00  0.6898445E-20  0.0000000E+00  0.1003456E+03
