RA                Dec             plx        eplx       pmra       epmra      pmdec      epmdec     gmag      egmag       bpmag     ebpmag     rpmag      erpmag #
139.012145996  -36.627246857     0.3272     0.1053    -4.5730     0.1370     4.3370     0.1520    17.6083     0.0013    17.5141     0.0124    16.8432     0.0088
139.011337280  -36.622184753     0.2156     0.0602    -4.4820     0.0800     4.5960     0.0910    16.6683     0.0007    16.7621     0.0068    15.9852     0.0088
138.994445801  -36.629962921     0.2465     0.0542    -4.4080     0.0730     4.5830     0.0850    16.2899     0.0006    16.5474     0.0047    15.8035     0.0030
139.004837036  -36.616539001     0.2818     0.0355    -4.4410     0.0470     4.4300     0.0560    15.7833     0.0005    16.0921     0.0033    15.2908     0.0024
138.992813110  -36.625423431     0.3075     0.0451    -4.5340     0.0590     4.5280     0.0660    15.9475     0.0005    16.2066     0.0024    15.5070     0.0025
139.000015259  -36.637344360     0.3462     0.0296    -4.1970     0.0390     4.4650     0.0460    15.2599     0.0004    15.4522     0.0017    14.9365     0.0012
138.994506836  -36.620201111     0.3169     0.0438    -4.5400     0.0570     4.4730     0.0690    16.1879     0.0005    16.5300     0.0037    15.6816     0.0022
139.000747681  -36.638740540     0.3524     0.1147    -4.4270     0.1470     4.6120     0.1700    17.7747     0.0013    99.9999     9.9999    99.9999     9.9999
139.015228271  -36.638111115     0.2806     0.1588    -4.5430     0.2020     4.6880     0.2460    18.3695     0.0018    18.8434     0.0187    17.6865     0.0159
138.993591309  -36.637687683     0.2304     0.1098    -4.4490     0.1450     4.7800     0.1690    17.4761     0.0012    17.9233     0.0129    16.8273     0.0052
139.018203735  -36.638740540     0.2557     0.0185    -4.4380     0.0240     4.5410     0.0300    13.6332     0.0011    13.8086     0.0041    13.3115     0.0030
138.986404419  -36.628726959     0.2255     0.0317    -4.5390     0.0420     4.6840     0.0500    15.3418     0.0003    15.5551     0.0021    14.9780     0.0020
138.985290527  -36.624599457     0.3209     0.2312    -4.4570     0.2840     4.7420     0.3150    18.8720     0.0024    19.3025     0.0457    18.0664     0.0188
138.997207642  -36.644332886     0.3083     0.0640    -4.5650     0.0830     4.4650     0.0950    16.7017     0.0007    17.0339     0.0074    16.1994     0.0042
139.010681152  -36.645725250     0.2590     0.0515    -4.4640     0.0650     4.2580     0.0810    16.2215     0.0005    16.5343     0.0049    15.7302     0.0057
138.984497070  -36.619094849     0.2315     0.0976    -4.2350     0.1260     4.6020     0.1490    17.5571     0.0010    17.9207     0.0128    17.0292     0.0061
139.018722534  -36.610397339     0.3301     0.0278    -4.4460     0.0340     4.4490     0.0420    14.9057     0.0004    15.0991     0.0025    14.5705     0.0012
139.010131836  -36.647571564     0.2763     0.0384    -4.3050     0.0480     4.6020     0.0580    15.6877     0.0005    15.9355     0.0033    15.2792     0.0027
139.032302856  -36.627422333     0.3224     0.0393    -4.3860     0.0510     4.5140     0.0610    15.5125     0.0006    15.7368     0.0035    15.1098     0.0033
138.979980469  -36.627307892     0.3085     0.0733    -4.3830     0.0950     4.6260     0.1100    17.0147     0.0008    17.3674     0.0054    16.5005     0.0040
139.027664185  -36.642311096     0.2676     0.0290    -4.4230     0.0370     4.5590     0.0470    14.5943     0.0003    14.7204     0.0022    14.3601     0.0031
138.994400024  -36.648349762     0.2725     0.0506    -4.5100     0.0640     4.7330     0.0780    16.3676     0.0006    16.6825     0.0042    15.8921     0.0031
139.035476685  -36.632434845     0.2518     0.0202    -4.4170     0.0260     4.4350     0.0330    13.6132     0.0002    13.7936     0.0011    13.2990     0.0007
139.032974243  -36.614589691     0.2744     0.0366    -4.3950     0.0490     4.4650     0.0580    15.8557     0.0005    16.1183     0.0036    15.4336     0.0027
139.035614014  -36.636032104     0.2231     0.0550    -4.3670     0.0690     4.5150     0.0860    16.5218     0.0006    16.8405     0.0045    16.0386     0.0030
139.003417969  -36.653087616     0.2455     0.0504    -4.3390     0.0640     4.5640     0.0760    16.2916     0.0006    16.6011     0.0047    15.8194     0.0033
139.039901733  -36.626926422     0.2351     0.0234    -4.5620     0.0300     4.4550     0.0340    14.4360     0.0003    14.6610     0.0023    14.0625     0.0015
139.002960205  -36.599941254     0.3364     0.0344    -4.3660     0.0470     4.4570     0.0550    15.6943     0.0006    15.9485     0.0042    15.2794     0.0026
138.997283936  -36.653621674     0.3064     0.0234    -4.5050     0.0280     4.4800     0.0360    14.1546     0.0003    14.3091     0.0019    13.8402     0.0019
138.995468140  -36.653648376     0.3215     0.0667    -4.3820     0.0810     4.5290     0.1100    16.6448     0.0007    16.9555     0.0045    16.1364     0.0049
139.036895752  -36.613384247     0.2824     0.0173    -4.4560     0.0220     4.5680     0.0270    13.3774     0.0002    13.9275     0.0014    12.6874     0.0007
138.972946167  -36.616920471     0.2218     0.0190    -4.4190     0.0250     4.5960     0.0290    13.9610     0.0005    14.1727     0.0015    13.6044     0.0014
139.043579102  -36.626941681     0.2000     0.0435    -4.3230     0.0690     4.6360     0.0660    15.5136     0.0006    15.7142     0.0062    15.0976     0.0095
139.027633667  -36.602481842     0.3254     0.0347    -4.3880     0.0480     4.5910     0.0550    15.7154     0.0004    15.9558     0.0034    15.3133     0.0029
139.033843994  -36.605182648     0.1921     0.0250    -4.4250     0.0320     4.4990     0.0420    14.8960     0.0003    15.0847     0.0022    14.5688     0.0018
138.987854004  -36.599262238     0.3118     0.0544    -4.3390     0.0690     4.5550     0.0840    16.5432     0.0006    16.8627     0.0044    16.0599     0.0035
139.019027710  -36.597003937     0.2860     0.0175    -4.4580     0.0220     4.4800     0.0290    13.5510     0.0002    14.0944     0.0014    12.8577     0.0013
139.043655396  -36.616359711     0.3262     0.0467    -4.5000     0.0620     4.6270     0.0780    16.2864     0.0006    16.5616     0.0077    15.8091     0.0039
139.044097900  -36.617156982     0.2953     0.0351    -4.4690     0.0470     4.3950     0.0600    15.1995     0.0005    15.4489     0.0025    14.7807     0.0021
139.043182373  -36.613784790     0.2989     0.0169    -4.4130     0.0230     4.4640     0.0280    13.3753     0.0002    13.5839     0.0012    13.0220     0.0011
